Station Name,Station Code,Lat,Long
bareilly,BE,28.337106,79.410776
barmer,BME,25.744859,71.397504
basti,BST,26.815549,82.769975
belapur,BAP,19.019266,73.039244
betul,BZU,21.897007,77.906219
bharatpur,BTE,27.236697,77.488328
bhatni,BTT,26.381471,83.934406
bhimavaram town,BVRT,16.547519,81.519014
bhopal,BPL,23.267182,77.413378
bijapur,BJP,16.830611,75.739520
bina,BINA,24.171089,78.183376
bobbili,VBL,18.577562,83.346671
botad,BTD,22.182974,71.665694
burhwal,BUW,27.085951,81.389930
bhader,BADR,21.364897,70.928745
bajana,BAJN,23.102550,71.773643
bale,BALE,17.676205,75.845306
birambad,BAMA,26.923677,77.322865
batala junction,BAT,31.821592,75.194483
baran,BAZ,25.095811,76.506041
babarpur,BBDE,29.449884,76.966400
babugarh,BBO,28.747202,77.855702
bhabua road,BBU,25.173068,83.619398
bansdih road,BCD,25.811289,84.214978
,,,
bichpuri,BCP,27.176507,77.914447
bodeli,BDE,22.269797,73.716581
bodhan,BDHN,18.646141,77.888353
badami,BDM,15.959225,75.676939
bidanpur,BDNP,25.583067,81.446038
bandanwara,BDW,26.125369,74.691398
badearapur,BDXX,19.011037,81.838024
beldanga,BEB,23.932191,88.243388
beohari,BEHR,24.000431,81.379546
bheerpur,BEP,25.265160,81.989259
bareth,BET,23.915333,77.999902
bhoras budrukh,BFJ,20.521272,75.013065
bhongir,BG,17.524667,78.899011
banta raghunathgarh,BGG,25.602347,73.527544
bagumra,BGMR,21.148899,72.997632
baghnapara,BGRA,23.241602,88.329366
bhagtanwala,BGTN,31.608940,74.864486
bagewadi,BGWD,16.307351,74.753281
bhestan,BHET,21.127879,72.861391
bhurkunda,BHKD,23.637074,85.371676
bhandaridah,BHME,23.755771,86.066867
bhatiya,BHTA,22.088622,69.280868
bhatpar rani,BHTR,26.309804,84.032443
barharwa junction,BHW,24.857858,87.774612
bhilai,BIA,21.202317,81.421391
belgahna,BIG,22.430943,82.032024
bildi,BILD,23.225089,74.918151
bordi,BIO,22.866626,74.347126
bir,BIR,22.052531,76.547495
bisalwaskalan,BIWK,24.500280,74.783301
barejadi,BJD,22.894886,72.677380
bijora,BJK,25.144906,76.395491
bijuri,BJRI,23.250553,82.119186
bhikamkor,BKC,26.805916,72.788044
barkur,BKJ,13.477527,74.759706
bindki road,BKO,26.116872,80.580832
bhiknur,BKU,18.163907,78.398457
bhildi,BLDI,24.194677,72.008695
balurghat,BLGT,25.233235,88.757835
balamu junction,BLM,27.167421,80.352479
bhalwani,BLNI,18.210559,75.207111
badulipar,BLPR,26.647401,93.874599
bolsa,BLSA,19.001669,77.703550
belthara road,BLTR,26.121111,83.841496
bolai,BLX,23.361567,76.486971
bhimalgondi,BMC,21.725118,78.910240
bhimgara,BMGA,23.738349,87.284626
bamnia,BMI,23.096056,74.758775
bhimana,BMN,24.595924,72.886734
bhimarlai,BMQ,25.893261,71.882277
begampet,BMT,17.438587,78.458111
binaur,BNAR,26.401019,80.175205
barnagar,BNG,23.060772,75.376832
budni,BNI,22.786494,77.681137
barnala,BNN,30.370792,75.549683
bhagwanpur,BNR,25.859098,85.301508
bantawala,BNTL,12.877686,75.034131
bhiwani city,BNWC,28.825315,76.144008
bangrod,BOD,23.398083,75.123626
bhoke,BOKE,17.049035,73.381016
baghdogra,BORA,26.698091,88.324348
bolarumbazar,BOZ,17.517613,78.515687
bahadurpur,BPD,23.439088,88.463812
bhugaon,BPK,20.673750,78.669839
bhogpursirwal,BPRS,31.556373,75.644967
barelipur,BQM,22.052120,78.408621
bhilainagar,BQR,21.200917,81.333932
barang,BRAG,20.401061,85.832807
bharwari,BRE,25.559129,81.491795
bargawan,BRGW,24.196977,82.456446
braylachaurasi,BRLA,23.555284,75.092559
bermo,BRMO,23.772763,85.956202
boridand,BRND,23.267616,82.178087
biyavrarajgarh,BRRG,23.936418,76.907503
borvihir,BRVR,20.784102,74.841226
banshbaria,BSAE,22.957480,88.395362
bhupalsagar,BSJ,24.847403,74.211337
bansipur,BSQP,25.151102,86.130676
basar,BSX,18.865689,77.938932
bihta,BTA,25.561336,84.875540
bharatkund,BTKD,26.635673,82.126981
bhitaura,BTO,28.470115,79.306471
butari,BTR,31.556094,75.183218
barsi town,BTW,18.240988,75.718083
baradwar,BUA,22.011814,82.813674
bundi,BUDI,25.408503,75.651265
bommasamudram,BUM,13.044759,79.176468
burnpur,BURN,23.672448,86.939105
babhnan,BV,26.938532,82.500060
bikkavolu,BVL,16.969257,82.031703
bhavanagarpara,BVP,21.770590,72.118462
balipara,BVU,26.819523,92.771595
banwali,BWC,29.920814,74.025755
bilwai,BWI,26.159155,82.664992
bhawanipur kalan,BWP,27.350099,82.082568
barwaha,BWW,22.256273,76.030953
bokajan,BXJ,26.019168,93.779885
brundamal,BXQ,21.806614,84.016097
byadgi,BYD,14.699190,75.489655
byndoor,BYNR,13.872570,74.632507
byree,BYY,20.628376,86.035157
bhimsen,BZM,26.419468,80.217585
basai,BZY,25.142662,78.393990
bhaga junction,VAA,23.723455,86.405874
bavla,VLA,22.833544,72.364850
badarpur,BPB,24.867748,92.559271
baghpat road,BPM,28.960389,77.272282
balasore,BLS,21.502109,86.920381
banda junction,BNDA,25.477818,80.334839
bangalore city,SBC,12.978129,77.568619
banmankhi,BNKI,25.885056,87.193526
baraut,BTU,29.097352,77.273061
bargarh road,BRGA,21.347064,83.632386
barog,BOF,30.908116,77.081223
bathinda junction,BTI,30.210384,74.932930
belgaum,BGM,15.849976,74.508834
bhadohi,BOY,25.395676,82.558472
bharuch,BH,21.710227,72.998285
bhavnagar,BVC,21.782197,72.141248
bhind,BIX,26.591904,78.777409
bhubaneswar,BBS,20.272503,85.843620
bijnor,BJO,29.386662,78.147376
binnaguri,BNV,26.748140,89.052758
bokaro steel city,BKSC,23.785698,85.875785
brahmapuri,BMP,19.329287,84.797516
buxar,BXR,25.561568,83.981549
balia kheri,BAE,29.929275,77.633586
banka,BAKA,24.867515,86.912913
baitalpur,BALR,26.555365,83.738422
bani,BANI,26.233340,81.610944
bar,BAR,26.061101,74.128847
bibinagar,BB,17.471070,78.794582
barua bamungaon,BBGN,26.669282,93.983442
balabhadrapuram,BBPM,16.966379,82.000530
bodarwar,BBW,26.886555,83.640060
berchha,BCH,23.283099,76.334592
bachhrawan,BCN,26.489011,81.106338
barachak,BCQ,23.707174,86.928567
bhedia,BDH,23.586761,87.712004
budhi,BDHY,32.441118,75.433574
bhodwal majri,BDMJ,29.185512,77.008127
byadarahalli,BDRL,12.501862,76.751933
badhwabara,BDWA,23.294412,81.286883
buddireddippati,BDY,12.045532,78.312839
bhupdeopur,BEF,21.975146,83.260378
bihar sharif,BEHS,25.203155,85.539418
belur,BEQ,22.635996,88.339816
bhalui,BFM,25.102933,86.157095
bagalia,BGA,23.447479,86.518897
baghauli,BGH,27.321774,80.196050
borgaon,BGN,20.727378,77.136698
begusarai,BGS,25.425447,86.133828
bairagnia,BGU,26.737524,85.276043
bagrisajjanpur,BGX,25.903549,73.801160
bhatton ki gali,BHG,27.105360,75.712695
behula,BHLA,23.180941,88.428973
bhone,BHNE,21.020098,75.211959
bhanwartonk,BHTK,22.608474,81.898322
bhandu motidau,BHU,23.699825,72.391183
bechhiwara,BHWA,23.787780,73.535264
bichia,BIC,28.306440,81.154007
bairagarh,BIH,23.274288,77.336687
bilkha,BILK,21.443462,70.600566
bahilpurwa,BIP,25.211154,80.972192
bhiwandi road,BIRD,19.269382,73.045882
bardoli,BIY,21.135425,73.105230
bhojudih junction,BJE,23.642598,86.446860
bhagavathipuram,BJM,9.018481,77.193950
bijainagar,BJNR,25.930896,74.652697
bajva,BJW,22.367023,73.143575
bhankoda,BKD,23.270326,72.128413
bona kalu,BKL,17.032495,80.261722
bhaluka road,BKRD,25.343173,87.912154
barlai,BLAX,22.894125,75.961787
balaudatakun,BLDK,22.875226,75.756469
belakoba,BLK,26.590197,88.589541
bhalumaska,BLMK,19.328072,83.293827
bhulon,BLO,24.635139,76.970683
bilpur,BLPU,28.083264,79.625337
balsamand,BLSD,27.582014,74.472620
bilhaur,BLU,26.839676,80.060803
bally,BLY,22.655383,88.340567
bissamcuttack,BMCK,19.487469,83.459162
brahmanagudem,BMGM,16.934872,81.675063
birangkhera,BMK,29.916852,74.632008
bolarum,BMO,17.533363,78.515203
bikrampur,BMR,23.091417,79.596498
bamhrauli,BMU,25.445290,81.739347
bangalore east,BNCE,13.001463,77.618276
bongaigaon,BNGN,26.479101,90.561025
bevinahalu,BNL,15.166956,77.213005
banar,BNO,26.339711,73.147012
banas,BNS,24.713738,72.989084
bandakpur,BNU,23.848397,79.575258
bidhannagar road,BNXR,22.591131,88.390737
bhairongarh,BOG,23.145391,74.776872
bhonra,BON,25.183195,76.149881
baorithikria,BOTI,27.414710,75.511386
barrackpore,BP,22.760947,88.371145
banapura,BPF,22.457598,77.462000
bhopalka,BPKA,22.123492,69.369550
